"Unidade da Federação";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";" Total"
"32 Espírito Santo";"0";"0";"47341";"74078";"94161";"303578";"86831";"68736";"88215";"470737";"132421";"96067";"253763";"162885";"132104";"127744";"136518";"121430";"202527";"345666";"137763";"212170";"149631";"333935";"395286";"262807";"4436394"
"33 Rio de Janeiro";"0";"0";"439121";"245673";"285123";"1310362";"335651";"289605";"305717";"1355138";"394423";"509280";"1359976";"2955372";"456485";"443481";"557012";"480475";"814053";"1330634";"651962";"636453";"505505";"681292";"822367";"767036";"17932196"
"35 São Paulo";"0";"0";"0";"846262";"1057584";"3396950";"1249667";"1154603";"1204900";"5861979";"1219746";"1059827";"1804536";"1785038";"1711560";"1754751";"2901200";"1592097";"2391052";"4064233";"1861499";"2316641";"2016421";"2722704";"6252208";"2363788";"52589246"
"41 Paraná";"25512";"29977";"416406";"176693";"231441";"236166";"225633";"211429";"206655";"1355255";"303989";"264027";"363032";"416365";"352257";"351624";"389295";"322864";"538328";"954754";"365509";"419404";"442792";"952268";"1069582";"963574";"11584831"
"42 Santa Catarina";"0";"0";"21116";"97393";"147288";"537969";"167495";"127699";"136651";"822907";"222815";"165697";"283132";"263027";"245423";"249759";"252180";"231688";"347311";"606934";"260559";"308240";"277301";"633775";"773241";"477469";"7657069"
"43 Rio Grande do Sul";"0";"0";"139331";"134594";"179995";"843929";"44460";"154774";"191154";"1382973";"280909";"263587";"435225";"334330";"277224";"287836";"329683";"268153";"476208";"819438";"286223";"446074";"353698";"543173";"617233";"448000";"9538204"
"50 Mato Grosso do Sul";"0";"0";"0";"3577";"134754";"315763";"55288";"54706";"60884";"347372";"85263";"77897";"124975";"170944";"104955";"110542";"126013";"115049";"141106";"313273";"124953";"137247";"124341";"198190";"214255";"149096";"3290443"
"51 Mato Grosso";"0";"0";"0";"412534";"159685";"327197";"79727";"82167";"85802";"383314";"126524";"111649";"149531";"713165";"129852";"114639";"129186";"115685";"191674";"331933";"130585";"150889";"147065";"232025";"254772";"196295";"4755895"
"52 Goiás";"0";"0";"0";"9408";"820436";"156100";"131994";"117070";"118483";"611954";"178479";"138637";"354869";"253077";"202210";"203059";"274164";"215621";"337173";"587541";"218213";"271535";"250040";"329865";"418714";"304211";"6502853"
"53 Distrito Federal";"0";"0";"24626";"68587";"92777";"380588";"91764";"107603";"83425";"388823";"78484";"76424";"165412";"153508";"123003";"115170";"156025";"85990";"171448";"259246";"88359";"249057";"126607";"201583";"260864";"176597";"3725970"
"Total";"25512";"29977";"1443488";"4005507";"5511368";"21270349";"4927698";"4697276";"4953481";"25971843";"6495775";"6854444";"11226210";"16459070";"7196702";"7446772";"9342112";"6890249";"11123574";"18821206";"10005320";"8741669";"7940416";"13430643";"18502070";"11541050";"244853781"
