"Unidade da Federação";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";" Total"
"11 Rondônia";"0";"0";"6";"1";"0";"388263";"42032";"34210";"45767";"210280";"54800";"44774";"53916";"75321";"60442";"55513";"67299";"62523";"104965";"186159";"69735";"78348";"86860";"172931";"142680";"104626";"2141451"
"12 Acre";"0";"0";"0";"1";"1";"198338";"22175";"27401";"29509";"101294";"33927";"25342";"50523";"49991";"39888";"37407";"57707";"28328";"39266";"78752";"32232";"31142";"33812";"64645";"55299";"34259";"1071239"
"13 Amazonas";"0";"0";"0";"49";"649";"977766";"60173";"123318";"131798";"368551";"205742";"169084";"232669";"300391";"209466";"216968";"221239";"231598";"324389";"475679";"233877";"221739";"219278";"1059198";"364439";"227555";"6575615"
"14 Roraima";"0";"0";"0";"203";"1973";"114210";"13967";"14232";"14922";"78202";"53206";"48939";"64699";"107920";"39597";"30201";"37918";"32213";"36807";"68738";"59199";"51333";"44036";"207897";"117081";"50163";"1287656"
"15 Pará";"0";"0";"0";"0";"57";"1926121";"151244";"396588";"306364";"1229089";"285024";"275230";"337942";"380181";"427355";"334164";"417989";"334958";"400286";"819332";"232461";"269901";"289836";"436796";"721263";"752103";"10724284"
"16 Amapá";"0";"0";"0";"0";"0";"149071";"31917";"20824";"23113";"83975";"23013";"20703";"27946";"36147";"31735";"30372";"34509";"32854";"45524";"88598";"35654";"40934";"37316";"63024";"56226";"39290";"952745"
"17 Tocantins";"0";"0";"0";"0";"187";"335813";"43710";"32961";"41393";"230731";"101292";"71453";"164684";"203736";"106044";"101883";"88492";"63058";"106033";"152893";"55064";"67900";"72300";"106687";"107853";"76281";"2330448"
"21 Maranhão";"0";"0";"539";"0";"666790";"449744";"226803";"208499";"222161";"950531";"295961";"247183";"384739";"1779954";"312644";"329828";"399864";"289735";"396236";"800461";"265118";"224616";"265701";"362294";"467942";"321433";"9868776"
"22 Piauí";"0";"0";"679";"38838";"60280";"302222";"66904";"63450";"75083";"477780";"101104";"102059";"132471";"103397";"100045";"100810";"125895";"112470";"198129";"249426";"84378";"113310";"91362";"213805";"239377";"171627";"3324901"
"23 Ceará";"0";"0";"305539";"160110";"231719";"833850";"206267";"180919";"213759";"1121051";"329142";"290154";"385288";"338803";"284705";"332575";"460257";"291621";"475641";"1433813";"677582";"437902";"359345";"576044";"548939";"439437";"10914462"
"24 Rio Grande do Norte";"0";"0";"0";"315837";"65709";"393174";"28656";"51952";"74174";"430932";"96270";"67136";"81127";"587232";"91015";"99923";"112701";"98477";"175278";"270911";"99270";"89197";"87345";"114755";"210603";"180330";"3822004"
"25 Paraíba";"0";"0";"0";"771346";"81364";"108307";"86996";"77511";"91281";"540909";"154142";"115600";"272882";"199611";"138208";"415629";"145779";"108653";"235737";"355903";"121645";"126745";"132348";"177208";"280553";"138307";"4876664"
"26 Pernambuco";"0";"0";"0";"0";"43";"2407218";"205977";"217680";"269679";"1378900";"325879";"270873";"787619";"355754";"358471";"356797";"463148";"313412";"726557";"747962";"428319";"466312";"368848";"540164";"848611";"447231";"12285454"
"27 Alagoas";"0";"0";"0";"5";"781";"1448640";"65939";"92551";"91076";"464627";"133662";"97301";"147616";"169973";"128382";"120784";"136533";"116477";"191932";"355388";"2346533";"130828";"123971";"168211";"256752";"372460";"7160422"
"28 Sergipe";"0";"0";"0";"0";"430423";"50906";"50330";"45091";"52467";"365228";"51220";"50862";"85384";"79568";"77282";"72274";"81833";"78361";"142523";"190344";"83754";"87803";"80483";"126450";"164938";"123718";"2571242"
"29 Bahia";"0";"0";"44120";"491121";"388916";"1658251";"751566";"372163";"377971";"2165062";"721343";"600217";"1511330";"509304";"476765";"491001";"605635";"495178";"889634";"1289129";"475281";"455670";"488492";"700996";"1122133";"676811";"17758089"
"31 Minas Gerais";"0";"0";"4664";"159197";"379232";"1719853";"404532";"369534";"411078";"2794249";"506995";"1594442";"1210924";"3974076";"579585";"562038";"634038";"651281";"1023757";"1644066";"579593";"700279";"765682";"1510728";"1718859";"1276546";"25175228"
