"Unidade da Federação";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";" Total"
"11 Rondônia";"0";"5289";"28759";"29613";"36590";"37787";"32592";"31243";"26833";"27722";"26673";"26184";"26785";"27485";"60646";"98724";"80652";"82396";"71862";"62175";"71347";"46962";"938319"
"12 Acre";"0";"4194";"10326";"15576";"15745";"20211";"16428";"14939";"17711";"16941";"17438";"16330";"17749";"15219";"24009";"36718";"31513";"34887";"31462";"33688";"39541";"18818";"449443"
"13 Amazonas";"539";"10401";"21800";"57276";"75069";"61390";"76458";"78124";"80863";"76193";"77996";"75715";"71599";"78191";"141035";"219539";"197948";"189695";"161684";"172812";"192872";"109635";"2226834"
"14 Roraima";"8";"2470";"6034";"7224";"9909";"10747";"11260";"9039";"9324";"9645";"9694";"9104";"9440";"8462";"12880";"30701";"31699";"28633";"28583";"28746";"28457";"17048";"319107"
"15 Pará";"1";"15187";"73406";"187586";"198548";"204477";"169489";"169799";"177913";"169131";"167763";"158243";"155818";"145769";"217739";"329047";"216132";"278461";"247095";"255169";"296840";"187827";"4021440"
"16 Amapá";"0";"747";"18748";"13121";"16255";"18120";"14039";"13301";"14179";"14050";"14378";"13166";"13295";"13088";"26330";"41537";"36828";"43708";"30591";"29807";"34794";"14883";"434965"
"17 Tocantins";"95";"47";"22080";"24242";"32155";"25004";"26653";"26276";"26968";"24785";"25654";"23745";"22767";"22816";"52380";"67611";"50182";"66959";"54356";"56309";"64107";"43605";"758796"
"21 Maranhão";"79399";"104213";"107837";"113682";"141123";"134480";"148288";"141181";"152403";"146122";"145940";"135911";"139440";"121363";"213068";"348548";"271599";"209452";"176116";"172395";"180468";"95927";"3478955"
"22 Piauí";"45813";"43179";"55425";"55877";"66053";"63514";"58442";"58052";"56977";"53135";"52250";"49923";"49534";"50205";"104921";"109626";"89272";"99673";"74271";"74949";"80273";"52121";"1443485"
"23 Ceará";"168021";"143849";"168791";"162136";"188053";"155034";"154706";"142175";"144386";"137930";"138839";"136520";"145731";"128247";"272076";"503619";"373832";"385141";"279187";"265179";"258881";"167890";"4620223"
