"Unidade da Federação";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";" Total"
"24 Rio Grande do Norte";"32036";"26265";"22292";"40330";"62194";"56008";"52540";"51770";"51548";"47173";"49390";"49248";"48636";"48254";"99836";"137783";"119031";"96564";"69430";"74826";"79264";"52585";"1367003"
"25 Paraíba";"56872";"48076";"61704";"62933";"71101";"71188";"69052";"68043";"69121";"63505";"62653";"71584";"61413";"55645";"123225";"161640";"122827";"123361";"104858";"99314";"118693";"64804";"1811612"
"26 Pernambuco";"43";"47724";"114183";"138903";"186623";"170055";"165682";"160814";"162203";"153462";"157727";"148602";"161186";"148315";"306841";"413394";"383233";"360057";"278422";"241979";"258120";"149458";"4307026"
"27 Alagoas";"391";"7305";"38327";"63859";"65570";"73341";"66897";"59752";"57195";"53964";"58424";"54678";"49891";"51681";"106463";"154346";"137287";"117364";"103011";"95914";"92730";"56852";"1565242"
"28 Sergipe";"45371";"38301";"41617";"41220";"49116";"43120";"35068";"35538";"38038";"36456";"36023";"34471";"34399";"34157";"81533";"86532";"84720";"81842";"60999";"54223";"56457";"37111";"1086312"
"29 Bahia";"223656";"205933";"272812";"231982";"285561";"310929";"269627";"252045";"238476";"226172";"235271";"224135";"218296";"213043";"460431";"619803";"492275";"410626";"329855";"303429";"320039";"220797";"6565193"
"31 Minas Gerais";"296651";"304194";"323627";"317671";"337116";"319842";"297080";"281500";"283575";"257779";"266063";"251626";"254340";"264627";"600045";"715348";"615415";"744308";"506695";"486525";"484584";"362784";"8571395"
"32 Espírito Santo";"61887";"40128";"58228";"57680";"69501";"60660";"57746";"56270";"53312";"52034";"52733";"51316";"53397";"54072";"122515";"161392";"147342";"149241";"95800";"97299";"103573";"70559";"1726685"
"33 Rio de Janeiro";"219422";"231596";"235152";"233172";"265779";"243591";"240496";"223060";"218038";"206007";"209411";"205694";"232066";"210452";"461164";"681097";"638699";"596057";"424380";"391473";"402845";"201928";"6971579"
"35 São Paulo";"758311";"723392";"721664";"664127";"746606";"644411";"632327";"610527";"596559";"581728";"593206";"567951";"600450";"595663";"1322448";"1843530";"1741004";"1574500";"1195565";"1262801";"1230325";"756388";"19963483"
"41 Paraná";"178471";"163436";"181806";"170140";"176903";"149885";"160090";"155458";"152234";"142751";"149445";"142665";"147061";"149079";"347957";"453595";"394072";"440968";"387250";"370894";"418945";"289025";"5322130"
"42 Santa Catarina";"91607";"90627";"95856";"80497";"98906";"83588";"85526";"84992";"83872";"82213";"86034";"84528";"83265";"83736";"185591";"265191";"240517";"275181";"222857";"232882";"273849";"182266";"3093581"
"43 Rio Grande do Sul";"158048";"140940";"40376";"138982";"172210";"153987";"149274";"142821";"139437";"128819";"127388";"125127";"125456";"122437";"300178";"388592";"306803";"378417";"317491";"339948";"370504";"257198";"4524433"
"50 Mato Grosso do Sul";"37869";"46470";"40458";"40157";"47714";"40938";"40607";"41208";"41108";"38198";"41120";"40352";"38768";"40569";"81947";"153130";"111353";"127818";"102318";"119192";"124823";"76198";"1472315"
"51 Mato Grosso";"41834";"32414";"43908";"47769";"62205";"56534";"57449";"54388";"54392";"49974";"50721";"47353";"47729";"48136";"100992";"164465";"135617";"151229";"124915";"122918";"144917";"104742";"1744601"
"52 Goiás";"73646";"77855";"90660";"92190";"103250";"99442";"97387";"96023";"99001";"92764";"93490";"93416";"101044";"94170";"197515";"280065";"214265";"254613";"211848";"214072";"233317";"154656";"3064689"
"53 Distrito Federal";"52578";"48932";"49055";"46854";"46557";"44578";"45962";"44658";"43013";"40429";"42308";"40597";"39324";"40787";"110212";"128562";"88725";"174215";"99148";"110695";"114440";"75657";"1527286"
"Total";"2622569";"2603164";"2944931";"3134799";"3626412";"3352861";"3231165";"3102996";"3088679";"2929082";"2988032";"2878184";"2948879";"2865668";"6133977";"8594135";"7352842";"7475366";"5790049";"5769613";"6075005";"3867724";"93376132"
