"Unidade da Federação";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";" Total"
"11 Rondônia";"74,56";"112,73";"94,61";"94,32";"81,58";"78,87";"82,25";"60,38";"85,04"
"12 Acre";"27,08";"61,61";"51,69";"64,20";"57,00";"71,92";"78,65";"39,02";"56,22"
"13 Amazonas";"56,09";"84,51";"78,17";"75,60";"61,32";"78,00";"82,29";"47,67";"70,70"
"14 Roraima";"23,02";"89,67";"92,42";"83,50";"86,27";"88,27";"86,72";"59,68";"76,95"
"15 Pará";"34,76";"65,35";"45,78";"62,34";"54,16";"59,97";"71,34";"50,39";"55,51"
"16 Amapá";"48,43";"84,86";"74,65";"85,95";"60,16";"63,88";"74,28";"33,71";"66,15"
"17 Tocantins";"72,31";"89,43";"61,33";"88,28";"73,77";"78,86";"84,71";"63,04";"76,62"
"21 Maranhão";"46,05";"89,25";"74,36";"47,58";"52,56";"56,88";"65,87";"38,19";"59,00"
"22 Piauí";"76,17";"73,51";"62,91";"60,91";"58,64";"69,17";"74,48";"45,73";"65,46"
"23 Ceará";"68,80";"128,34";"93,98";"88,70";"80,42";"87,14";"86,70";"61,96";"87,19"
"24 Rio Grande do Norte";"64,12";"91,11";"79,89";"50,44";"50,70";"64,49";"74,40";"48,89";"65,60"
"25 Paraíba";"60,95";"86,96";"64,46";"56,66";"67,93";"72,18";"87,79";"47,86";"68,26"
"26 Pernambuco";"65,42";"92,83";"87,36";"68,22";"67,66";"69,54";"81,45";"46,81";"72,77"
"27 Alagoas";"58,38";"90,64";"81,68";"60,50";"68,67";"72,09";"74,53";"46,47";"69,38"
"28 Sergipe";"79,87";"81,80";"80,95";"70,86";"69,69";"71,93";"74,98";"52,35";"73,06"
"29 Bahia";"68,48";"91,52";"78,54";"56,24";"60,47";"65,06";"70,50";"46,53";"67,48"
"31 Minas Gerais";"83,49";"87,72";"71,87";"88,38";"82,33";"85,03";"87,58";"66,93";"81,84"
"32 Espírito Santo";"84,89";"97,63";"87,48";"78,35";"69,73";"79,50";"87,45";"60,59";"80,73"
"33 Rio de Janeiro";"67,04";"96,45";"89,41";"72,17";"67,96";"70,18";"77,24";"34,55";"72,26"
"35 São Paulo";"75,71";"95,89";"92,43";"77,73";"83,40";"81,84";"82,50";"57,41";"81,12"
"41 Paraná";"77,16";"93,09";"78,91";"91,29";"84,30";"86,23";"90,67";"69,74";"84,09"
"42 Santa Catarina";"71,69";"93,38";"83,72";"98,38";"81,42";"83,42";"93,34";"71,40";"84,75"
"43 Rio Grande do Sul";"75,29";"90,12";"69,36";"86,47";"75,72";"83,11";"87,60";"67,51";"79,52"
"50 Mato Grosso do Sul";"44,68";"115,08";"80,03";"94,30";"74,94";"97,62";"92,21";"61,08";"82,68"
"51 Mato Grosso";"59,20";"100,71";"80,55";"85,08";"71,24";"79,53";"83,71";"65,64";"78,27"
"52 Goiás";"69,95";"92,25";"68,14";"84,19";"71,86";"76,76";"79,68";"59,38";"75,44"
"53 Distrito Federal";"103,87";"97,29";"65,43";"128,41";"77,43";"87,05";"86,80";"63,84";"88,97"
"Total";"68,87";"92,88";"79,94";"76,71";"72,94";"76,89";"81,55";"55,29";"75,82"
