"Unidade da Federação";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";" Total"
"32 Espírito Santo";"61887";"40128";"58228";"57680";"69501";"60660";"57746";"56270";"53312";"52034";"52733";"51316";"53397";"54072";"56339";"57811";"53572";"58927";"47334";"50989";"53060";"39221";"1196217"
"33 Rio de Janeiro";"219422";"231596";"235152";"233172";"265779";"243591";"240496";"223060";"218038";"206007";"209411";"205694";"232066";"210452";"238401";"250650";"235935";"255170";"220199";"218307";"215582";"111547";"4919727"
"35 São Paulo";"758311";"723392";"721664";"664127";"746606";"644411";"632327";"610527";"596559";"581728";"593206";"567951";"600450";"595663";"630776";"647565";"598150";"581581";"542557";"548953";"561648";"423731";"13571883"
"41 Paraná";"178471";"163436";"181806";"170140";"176903";"149885";"160090";"155458";"152234";"142751";"149445";"142665";"147061";"149079";"168515";"174494";"154866";"146898";"140915";"139195";"145057";"106633";"3395997"
"42 Santa Catarina";"91607";"90627";"95856";"80497";"98906";"83588";"85526";"84992";"83872";"82213";"86034";"84528";"83265";"83736";"91516";"99601";"92872";"91716";"85080";"87800";"94227";"66983";"1925042"
"43 Rio Grande do Sul";"158048";"140940";"40376";"138982";"172210";"153987";"149274";"142821";"139437";"128819";"127388";"125127";"125456";"122437";"145502";"149696";"124096";"129637";"119437";"125432";"129148";"96414";"2884664"
"50 Mato Grosso do Sul";"37869";"46470";"40458";"40157";"47714";"40938";"40607";"41208";"41108";"38198";"41120";"40352";"38768";"40569";"47992";"60731";"47590";"44473";"40158";"44340";"46931";"28568";"936319"
"51 Mato Grosso";"41834";"32414";"43908";"47769";"62205";"56534";"57449";"54388";"54392";"49974";"50721";"47353";"47729";"48136";"55106";"61842";"52293";"54609";"48149";"48034";"51488";"38499";"1104826"
"52 Goiás";"73646";"77855";"90660";"92190";"103250";"99442";"97387";"96023";"99001";"92764";"93490";"93416";"101044";"94170";"105626";"113883";"89826";"85691";"80762";"83888";"86198";"58312";"2008524"
"53 Distrito Federal";"52578";"48932";"49055";"46854";"46557";"44578";"45962";"44658";"43013";"40429";"42308";"40597";"39324";"40787";"45742";"45634";"30078";"58830";"35055";"37401";"38199";"30615";"947186"
"Total";"2622569";"2603164";"2944931";"3134799";"3626412";"3352861";"3231165";"3102996";"3088679";"2929082";"2988032";"2878184";"2948879";"2865668";"3131123";"3276483";"2787903";"2839666";"2566829";"2643322";"2722258";"1888892";"64173897"
