"Unidade da Federação";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";" Total"
"11 Rondônia";"0";"5289";"28759";"29613";"36590";"37787";"32592";"31243";"26833";"27722";"26673";"26184";"26785";"27485";"29447";"38939";"29477";"30247";"28380";"27015";"29270";"18838";"595168"
"12 Acre";"0";"4194";"10326";"15576";"15745";"20211";"16428";"14939";"17711";"16941";"17438";"16330";"17749";"15219";"16905";"16548";"14329";"12925";"12827";"13078";"14296";"7532";"307247"
"13 Amazonas";"539";"10401";"21800";"57276";"75069";"61390";"76458";"78124";"80863";"76193";"77996";"75715";"71599";"78191";"75174";"88491";"75246";"67461";"64454";"68572";"71897";"49504";"1402413"
"14 Roraima";"8";"2470";"6034";"7224";"9909";"10747";"11260";"9039";"9324";"9645";"9694";"9104";"9440";"8462";"8799";"11676";"11717";"10077";"9607";"11026";"9532";"5765";"190559"
"15 Pará";"1";"15187";"73406";"187586";"198548";"204477";"169489";"169799";"177913";"169131";"167763";"158243";"155818";"145769";"139806";"159472";"99975";"99743";"96588";"106301";"114837";"67215";"2877067"
"16 Amapá";"0";"747";"18748";"13121";"16255";"18120";"14039";"13301";"14179";"14050";"14378";"13166";"13295";"13088";"14452";"16849";"13962";"15796";"11679";"11960";"13434";"6085";"280704"
"17 Tocantins";"95";"47";"22080";"24242";"32155";"25004";"26653";"26276";"26968";"24785";"25654";"23745";"22767";"22816";"25597";"25742";"22826";"22917";"20766";"21770";"22706";"16596";"482207"
"21 Maranhão";"79399";"104213";"107837";"113682";"141123";"134480";"148288";"141181";"152403";"146122";"145940";"135911";"139440";"121363";"128874";"143661";"103727";"93487";"89796";"92762";"98354";"55071";"2617114"
"22 Piauí";"45813";"43179";"55425";"55877";"66053";"63514";"58442";"58052";"56977";"53135";"52250";"49923";"49534";"50205";"51345";"44647";"37693";"39034";"37281";"41256";"43216";"30419";"1083270"
"23 Ceará";"168021";"143849";"168791";"162136";"188053";"155034";"154706";"142175";"144386";"137930";"138839";"136520";"145731";"128247";"148090";"178484";"138462";"153990";"129475";"140540";"131655";"93796";"3228910"
"24 Rio Grande do Norte";"32036";"26265";"22292";"40330";"62194";"56008";"52540";"51770";"51548";"47173";"49390";"49248";"48636";"48254";"54364";"51807";"44370";"46197";"36338";"40225";"43325";"30143";"984453"
"25 Paraíba";"56872";"48076";"61704";"62933";"71101";"71188";"69052";"68043";"69121";"63505";"62653";"71584";"61413";"55645";"67338";"68318";"53237";"55559";"52288";"54251";"60794";"37463";"1342138"
"26 Pernambuco";"43";"47724";"114183";"138903";"186623";"170055";"165682";"160814";"162203";"153462";"157727";"148602";"161186";"148315";"170736";"153334";"138301";"161595";"138278";"136884";"137263";"87948";"3039861"
"27 Alagoas";"391";"7305";"38327";"63859";"65570";"73341";"66897";"59752";"57195";"53964";"58424";"54678";"49891";"51681";"60134";"59405";"51794";"52929";"51363";"51625";"53500";"33966";"1115991"
"28 Sergipe";"45371";"38301";"41617";"41220";"49116";"43120";"35068";"35538";"38038";"36456";"36023";"34471";"34399";"34157";"38921";"32280";"31485";"31649";"28606";"30758";"30814";"20545";"787953"
"29 Bahia";"223656";"205933";"272812";"231982";"285561";"310929";"269627";"252045";"238476";"226172";"235271";"224135";"218296";"213043";"234305";"241164";"183161";"174730";"161400";"163762";"172768";"128179";"4867407"
"31 Minas Gerais";"296651";"304194";"323627";"317671";"337116";"319842";"297080";"281500";"283575";"257779";"266063";"251626";"254340";"264627";"281321";"283759";"258863";"263798";"238057";"247198";"253059";"199304";"6081050"
