"Unidade da Federação";"Menor de 1 ano";"1 ano";"2 anos";"3 anos";"4 anos";"12 anos";"5 a 6 anos";"7 a 11 anos";"13 a 14 anos";"15 a 16 anos";"17 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 59 anos";"60 anos e mais";" Total"
"11 Rondônia";"627";"49814";"5822";"4403";"5242";"747";"1549";"3650";"2029";"2295";"5964";"17819";"19793";"15327";"13997";"10937";"8391";"3792";"733";"172931"
"12 Acre";"142";"28688";"9746";"8285";"8293";"235";"1744";"1420";"482";"406";"569";"1004";"952";"802";"753";"529";"307";"233";"55";"64645"
"13 Amazonas";"33763";"137680";"30180";"22223";"21464";"11318";"15171";"41943";"30576";"39538";"67625";"124278";"123933";"100873";"94435";"74668";"54840";"25065";"9625";"1059198"
"14 Roraima";"8236";"21837";"5097";"4048";"3992";"4169";"4478";"10152";"8453";"11617";"18056";"30160";"27568";"15642";"13432";"10646";"7705";"2122";"487";"207897"
"15 Pará";"1443";"205796";"45915";"34246";"32854";"2899";"6734";"11063";"5512";"4234";"7711";"17164";"16309";"13752";"12752";"9141";"6545";"2157";"569";"436796"
"16 Amapá";"146";"27437";"8930";"7514";"7233";"326";"1181";"1523";"647";"500";"932";"1754";"1456";"1035";"956";"689";"460";"249";"56";"63024"
"17 Tocantins";"152";"46544";"9489";"7715";"7315";"211";"316";"784";"683";"753";"2934";"7679";"7272";"4473";"3922";"2926";"2157";"1113";"249";"106687"
"21 Maranhão";"1515";"167118";"36100";"27683";"26485";"3593";"4396";"9743";"6966";"5384";"8229";"14533";"14340";"11742";"9961";"6894";"4805";"2358";"449";"362294"
"22 Piauí";"618";"96010";"33318";"30465";"28222";"502";"899";"1487";"1017";"835";"1667";"3928";"4086";"3271";"2803";"2150";"1573";"675";"279";"213805"
"23 Ceará";"3699";"278021";"55600";"46817";"42811";"3687";"2785";"6305";"5066";"5159";"10609";"25727";"25569";"19759";"16411";"11387";"8631";"4314";"3687";"576044"
"24 Rio Grande do Norte";"380";"72770";"9849";"6359";"5957";"307";"679";"1141";"676";"461";"1356";"3045";"3101";"2530";"2336";"1809";"1318";"500";"181";"114755"
"25 Paraíba";"910";"97559";"10391";"7065";"7881";"737";"1301";"1862";"1102";"1233";"3547";"9666";"9695";"8475";"6439";"4908";"3388";"794";"255";"177208"
"26 Pernambuco";"6121";"239251";"33776";"23782";"31525";"3479";"5843";"8189";"5381";"6244";"13017";"28325";"32436";"29952";"27668";"21728";"17417";"4777";"1253";"540164"
"27 Alagoas";"1572";"87769";"9139";"5671";"6641";"831";"1122";"2288";"1329";"1287";"3400";"9188";"9494";"8338";"7432";"5985";"4391";"2038";"296";"168211"
"28 Sergipe";"387";"56390";"6152";"4643";"5062";"409";"616";"1239";"1112";"1410";"3499";"9735";"9622";"7831";"7171";"5607";"4469";"822";"274";"126450"
"29 Bahia";"2215";"324561";"59985";"50044";"48044";"3172";"5885";"11775";"6858";"6539";"13536";"31449";"34301";"28607";"28768";"21832";"16432";"5537";"1456";"700996"
"31 Minas Gerais";"1617";"536454";"103914";"99239";"98964";"2759";"5823";"11081";"7772";"11137";"29278";"73376";"91114";"91975";"118412";"102531";"87859";"26268";"11155";"1510728"
"32 Espírito Santo";"409";"115148";"38020";"35136";"35024";"620";"1252";"2351";"1520";"1996";"5623";"15438";"17754";"13765";"17813";"15314";"12662";"3253";"837";"333935"
"33 Rio de Janeiro";"5297";"385648";"50617";"37129";"39161";"2516";"5918";"9043";"3190";"2965";"6930";"16265";"20744";"22521";"26473";"23310";"18781";"3839";"945";"681292"
"35 São Paulo";"3670";"1102590";"153486";"132866";"152027";"4962";"13297";"26343";"13831";"29694";"51850";"138486";"189585";"134424";"156755";"141868";"119459";"138745";"18766";"2722704"
"41 Paraná";"797";"349788";"106535";"103265";"101782";"3390";"4719";"14223";"10128";"13564";"16238";"34347";"41793";"32921";"42208";"36983";"30978";"6992";"1617";"952268"
"42 Santa Catarina";"662";"224736";"77380";"73712";"72734";"891";"2302";"4301";"2718";"3299";"8540";"18623";"30037";"23124";"29451";"23647";"19790";"12934";"4894";"633775"
"43 Rio Grande do Sul";"542";"248682";"25218";"16690";"18380";"1458";"3257";"7029";"3689";"6654";"16654";"27235";"33138";"32202";"38582";"30123";"23943";"7542";"2155";"543173"
"50 Mato Grosso do Sul";"453";"92015";"20785";"18339";"21776";"775";"951";"1656";"1158";"1242";"3294";"7528";"7596";"6043";"5560";"4322";"3582";"888";"227";"198190"
"51 Mato Grosso";"1159";"101740";"21953";"18838";"20631";"2470";"1804";"3551";"3073";"2514";"4430";"10160";"10412";"8652";"7896";"5958";"4608";"1788";"388";"232025"
"52 Goiás";"923";"166409";"21306";"15116";"15969";"943";"1639";"3058";"1858";"1941";"6619";"18640";"20239";"16013";"15163";"11642";"8627";"3173";"587";"329865"
"53 Distrito Federal";"288";"85536";"16976";"14715";"15708";"396";"518";"1546";"916";"1121";"4286";"12662";"11921";"9626";"10334";"7908";"5758";"1155";"213";"201583"
"Total";"77743";"5345991";"1005679";"856008";"881177";"57802";"96179";"198746";"127742";"164022";"316393";"708214";"814260";"663675";"717883";"595442";"478876";"263123";"61688";"13430643"
