"Unidade da Federação";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";" Total"
"11 Rondônia";"0";"17,15";"93,85";"94,94";"115,24";"130,63";"115,99";"125,36";"116,70";"103,49";"102,29";"100,41";"102,72";"105,40";"106,52";"146,88";"109,00";"109,79";"103,01";"101,65";"106,42";"74,71";"103,32"
"12 Acre";"0";"27,55";"67,82";"104,56";"99,40";"123,22";"95,12";"90,84";"109,45";"94,17";"103,45";"96,87";"105,29";"90,28";"95,00";"99,20";"84,21";"75,71";"75,14";"83,11";"87,39";"50,22";"88,90"
"13 Amazonas";"0";"14,84";"27,69";"71,27";"91,30";"86,06";"104,03";"103,37";"110,07";"101,56";"103,13";"100,11";"94,67";"103,39";"98,77";"114,36";"95,42";"83,56";"79,83";"89,81";"92,12";"69,19";"87,51"
"14 Roraima";"0";"25,35";"61,93";"75,26";"110,22";"110,32";"116,01";"94,23";"97,31";"95,51";"100,61";"94,49";"97,98";"87,83";"89,07";"110,16";"108,45";"90,77";"86,53";"99,32";"81,21";"53,59";"89,71"
"15 Pará";"0";"10,14";"47,94";"120,34";"124,98";"143,10";"116,35";"113,05";"118,49";"111,83";"117,62";"110,95";"109,25";"102,20";"98,49";"115,73";"71,92";"69,61";"67,51";"77,30";"82,81";"52,87";"94,74"
"16 Amapá";"0";"5,25";"131,68";"89,81";"114,50";"129,76";"99,34";"90,41";"98,29";"93,02";"100,57";"92,10";"93,00";"91,55";"95,63";"113,19";"89,02";"97,36";"71,98";"77,10";"87,24";"43,11";"90,56"
"17 Tocantins";"0";"0,17";"82,17";"88,48";"115,03";"97,41";"101,00";"100,96";"107,82";"96,40";"103,00";"95,33";"91,41";"91,60";"102,24";"105,54";"94,70";"91,89";"83,26";"91,21";"91,07";"72,60";"90,39"
"21 Maranhão";"0";"82,66";"80,13";"83,40";"102,32";"106,30";"113,67";"110,54";"119,71";"113,90";"118,10";"109,99";"112,84";"98,21";"106,37";"123,86";"90,47";"80,01";"76,86";"84,04";"87,05";"53,17";"101,37"
"22 Piauí";"0";"72,25";"95,28";"95,22";"111,58";"116,01";"102,50";"104,90";"107,07";"100,90";"102,35";"97,70";"97,02";"98,33";"102,35";"93,10";"81,22";"81,48";"77,82";"87,79";"89,01";"68,33";"99,07"
"23 Ceará";"0";"85,19";"109,94";"104,11";"119,11";"112,89";"110,35";"105,30";"107,88";"103,02";"105,67";"103,91";"110,92";"97,61";"115,15";"140,69";"110,83";"119,76";"100,69";"111,46";"103,02";"80,06";"113,28"
"24 Rio Grande do Norte";"0";"46,55";"39,50";"75,35";"116,80";"110,20";"100,34";"107,58";"107,25";"94,73";"101,01";"100,72";"99,47";"98,69";"113,05";"110,26";"94,98";"96,05";"75,55";"88,70";"93,73";"71,12";"95,00"
"25 Paraíba";"0";"67,12";"95,42";"96,56";"108,34";"114,45";"107,30";"112,97";"116,26";"102,50";"104,40";"119,28";"102,34";"92,72";"114,64";"120,35";"93,67";"96,59";"90,90";"96,73";"105,74";"71,08";"105,76"
"26 Pernambuco";"0";"29,21";"69,88";"84,64";"119,59";"113,70";"109,15";"110,07";"113,35";"105,71";"111,23";"104,79";"113,67";"104,59";"120,77";"108,46";"97,81";"112,65";"96,39";"104,72";"101,00";"70,59";"99,60"
"27 Alagoas";"0";"11,13";"59,09";"97,43";"99,05";"123,77";"110,17";"103,90";"99,63";"92,94";"105,33";"98,58";"89,95";"93,18";"110,72";"113,15";"98,67";"102,24";"99,22";"107,18";"106,22";"73,56";"94,21"
"28 Sergipe";"0";"94,08";"102,22";"103,48";"132,46";"120,41";"93,82";"95,89";"106,25";"99,53";"102,66";"98,24";"98,03";"97,34";"111,44";"94,64";"91,99";"92,09";"83,24";"95,47";"90,99";"66,18";"104,99"
"29 Bahia";"0";"76,30";"104,80";"88,35";"107,79";"132,66";"117,98";"114,49";"108,20";"102,05";"108,09";"102,97";"100,29";"97,88";"109,17";"114,85";"90,18";"85,70";"79,16";"82,30";"84,65";"68,51";"104,02"
"31 Minas Gerais";"0";"92,70";"101,89";"98,80";"103,62";"115,20";"107,46";"105,77";"109,28";"98,69";"105,45";"99,72";"100,80";"104,88";"108,25";"109,22";"100,11";"98,93";"89,27";"97,52";"96,97";"83,32";"106,53"
"32 Espírito Santo";"0";"68,74";"99,75";"101,04";"126,19";"113,96";"110,12";"109,37";"104,49";"100,36";"102,47";"99,72";"103,76";"105,07";"106,19";"109,44";"99,04";"104,31";"83,79";"95,47";"95,01";"76,61";"106,03"
"33 Rio de Janeiro";"0";"89,41";"90,78";"96,23";"114,46";"105,97";"107,75";"102,12";"100,54";"95,46";"96,69";"94,98";"107,16";"97,18";"108,16";"112,48";"105,42";"109,26";"94,29";"99,66";"96,58";"54,51";"103,70"
"35 São Paulo";"0";"105,38";"105,13";"105,13";"119,88";"104,30";"102,04";"101,19";"100,23";"96,68";"99,13";"94,91";"100,34";"99,54";"103,37";"105,02";"97,91";"92,96";"86,72";"91,46";"91,80";"75,56";"105,04"
