"Unidade da Federação";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";" Total"
"11 Rondônia";"10588";"29900";"25590";"26164";"21007";"14200";"19456";"12925";"159830"
"12 Acre";"2285";"9892";"8389";"11003";"8905";"9293";"12379";"5444";"67590"
"13 Amazonas";"23169";"65652";"61059";"61196";"47720";"44684";"56748";"26067";"386295"
"14 Roraima";"1807";"9521";"9997";"9286";"9398";"7920";"8747";"4869";"61545"
"15 Pará";"28590";"79526";"52521";"89395";"73026";"66404";"83068";"56586";"529116"
"16 Amapá";"4560";"12055";"11158";"13967";"9151";"7938";"9922";"4039";"72790"
"17 Tocantins";"8679";"20055";"12574";"22026";"15192";"15716";"20281";"12613";"127136"
"21 Maranhão";"28402";"101362";"82616";"60376";"24910";"16849";"7690";"1321";"323526"
"22 Piauí";"15364";"29727";"22382";"31458";"8914";"1185";"897";"1447";"111374"
"23 Ceará";"35498";"162320";"117957";"117089";"46302";"14768";"16426";"1538";"511898"
"24 Rio Grande do Norte";"14636";"43168";"37339";"26107";"8708";"5352";"1551";"1798";"138659"
"25 Paraíba";"20085";"43959";"32957";"35213";"13496";"4579";"7427";"2166";"159882"
"26 Pernambuco";"43613";"128829";"121399";"100594";"43081";"14202";"10156";"3330";"465204"
"27 Alagoas";"14618";"47354";"42617";"33114";"16099";"9564";"1692";"1462";"166520"
"28 Sergipe";"14717";"26352";"25530";"25840";"8445";"289";"248";"316";"101737"
"29 Bahia";"79142";"186460";"149607";"121232";"45163";"10266";"3398";"5580";"600848"
"31 Minas Gerais";"101741";"203689";"170732";"244848";"49092";"23799";"2988";"3720";"800609"
"32 Espírito Santo";"21137";"52007";"46453";"46054";"9075";"3850";"1677";"411";"180664"
"33 Rio de Janeiro";"74995";"215521";"202650";"172336";"45474";"19432";"14857";"19903";"765168"
"35 São Paulo";"229640";"604720";"578198";"506596";"131208";"222664";"163938";"11036";"2448000"
"41 Paraná";"61461";"135800";"116304";"148102";"111555";"98014";"130915";"81587";"883738"
"42 Santa Catarina";"31357";"82697";"72467";"92292";"62326";"65579";"87834";"50954";"545506"
"43 Rio Grande do Sul";"50990";"113682";"84686";"124860";"89527";"97010";"117347";"73220";"751322"
"50 Mato Grosso do Sul";"15131";"43782";"29916";"41813";"29157";"33440";"36629";"22613";"252481"
"51 Mato Grosso";"15609";"51005";"40650";"48563";"36530";"32327";"45491";"31833";"302008"
"52 Goiás";"29154";"80176";"59898";"84961";"59426";"56852";"69416";"43423";"483306"
"53 Distrito Federal";"19319";"40610";"29524";"58046";"29517";"35579";"37557";"18974";"269126"
"Total";"996287";"2619821";"2245170";"2352531";"1052404";"931755";"968735";"499175";"11665878"
