"Unidade da Federação";"Menor de 1 ano";"1 ano";"2 anos";"3 anos";"4 anos";"12 anos";"5 a 6 anos";"7 a 11 anos";"13 a 14 anos";"15 a 16 anos";"17 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 59 anos";"60 anos e mais";" Total"
"11 Rondônia";"14517";"52415";"2185";"970";"899";"316";"442";"1540";"734";"1310";"3772";"15107";"15966";"9305";"8381";"6689";"5250";"2344";"538";"142680"
"12 Acre";"6102";"27103";"2599";"1369";"1739";"562";"688";"1899";"618";"724";"1084";"3656";"3361";"1160";"1026";"735";"513";"275";"86";"55299"
"13 Amazonas";"52533";"136837";"11887";"5733";"4932";"1942";"3783";"8113";"4292";"5515";"11218";"32876";"31915";"16372";"14278";"10654";"7862";"2999";"698";"364439"
"14 Roraima";"9823";"19735";"3185";"2274";"2117";"1382";"2351";"6727";"2936";"3463";"8577";"16760";"14684";"7636";"6095";"4470";"3326";"1291";"249";"117081"
"15 Pará";"55842";"214101";"22786";"11103";"10592";"5937";"7102";"21442";"11733";"15996";"29347";"89748";"89317";"40314";"36309";"27486";"20444";"8543";"3121";"721263"
"16 Amapá";"6527";"25514";"2795";"1310";"1032";"310";"588";"1288";"541";"577";"1043";"4460";"4062";"1755";"1652";"1174";"867";"570";"161";"56226"
"17 Tocantins";"12031";"43973";"2068";"667";"481";"221";"199";"838";"555";"957";"2436";"10415";"11739";"5314";"5172";"4081";"3195";"2582";"929";"107853"
"21 Maranhão";"43169";"171606";"13823";"6693";"6907";"4225";"3678";"10922";"7843";"8611";"14643";"50977";"50529";"23104";"20159";"14357";"10236";"5163";"1297";"467942"
"22 Piauí";"21481";"80169";"3807";"2054";"2115";"587";"715";"1939";"1379";"2028";"4389";"33478";"37102";"13731";"12086";"9717";"7357";"4058";"1185";"239377"
"23 Ceará";"70709";"243684";"7769";"3254";"4039";"2290";"1314";"5358";"4028";"5067";"10609";"62452";"65168";"19570";"15777";"11709";"9018";"5082";"2042";"548939"
"24 Rio Grande do Norte";"22575";"78143";"5059";"2215";"1961";"529";"884";"2237";"1274";"1670";"3854";"23315";"25184";"11005";"10675";"8883";"7150";"3060";"930";"210603"
"25 Paraíba";"30776";"111584";"6727";"3473";"3920";"812";"1269";"2591";"1591";"2176";"4865";"27855";"32410";"15847";"13316";"9612";"7616";"3037";"1076";"280553"
"26 Pernambuco";"74763";"249201";"14496";"6168";"11848";"5086";"5093";"10146";"7741";"11140";"23732";"77742";"93255";"66146";"67496";"58276";"48779";"13366";"4137";"848611"
"27 Alagoas";"23376";"90938";"4403";"1957";"2663";"826";"816";"2437";"1370";"1820";"5738";"32614";"32649";"15024";"13617";"12074";"9304";"3901";"1225";"256752"
"28 Sergipe";"14693";"56528";"1665";"651";"744";"420";"396";"1225";"1043";"1613";"4517";"23803";"23881";"9664";"9019";"7255";"5763";"1583";"475";"164938"
"29 Bahia";"90663";"317222";"14754";"6883";"7161";"5612";"5386";"18840";"12698";"19592";"32988";"101389";"123637";"91399";"99863";"83644";"66778";"18027";"5597";"1122133"
"31 Minas Gerais";"156774";"486111";"8768";"3405";"3872";"2998";"3044";"13355";"7133";"16621";"35038";"148566";"165065";"124426";"155926";"140085";"118376";"76607";"52689";"1718859"
"32 Espírito Santo";"33327";"102894";"3780";"1615";"1760";"1264";"1232";"5000";"3112";"5555";"9941";"33171";"41196";"31075";"39244";"37481";"31912";"8528";"3199";"395286"
"33 Rio de Janeiro";"106127";"394054";"26181";"8233";"7317";"1975";"3986";"8537";"3475";"4172";"9974";"41618";"51906";"34707";"39617";"35076";"29230";"12196";"3986";"822367"
"35 São Paulo";"313683";"1093861";"60731";"45183";"42525";"19318";"65611";"176025";"39775";"180558";"274210";"627489";"715791";"405639";"437677";"423910";"370757";"740686";"218779";"6252208"
"41 Paraná";"87864";"290730";"7045";"3010";"10413";"4251";"2880";"17418";"10951";"16704";"25534";"85541";"110678";"78416";"98033";"94907";"86182";"30818";"8207";"1069582"
"42 Santa Catarina";"59809";"187593";"5267";"2113";"2312";"1567";"1560";"7170";"3987";"6618";"18177";"56328";"87958";"63063";"80718";"70308";"61747";"42804";"14142";"773241"
"43 Rio Grande do Sul";"69494";"253916";"8935";"3640";"3391";"1390";"1750";"5546";"3134";"4688";"15036";"48410";"60005";"31415";"36597";"29761";"24875";"11476";"3774";"617233"
"50 Mato Grosso do Sul";"24392";"88346";"3982";"1648";"3435";"944";"684";"2581";"1795";"2315";"4990";"17158";"19504";"10790";"10518";"8653";"7644";"3551";"1325";"214255"
"51 Mato Grosso";"28662";"100568";"5082";"2190";"2649";"2516";"990";"4517";"3738";"3873";"6885";"20983";"23284";"13139";"12180";"9661";"7462";"5291";"1102";"254772"
"52 Goiás";"47811";"166171";"8689";"3082";"2294";"929";"1013";"3608";"2014";"3047";"8400";"34013";"42476";"25133";"25023";"20949";"16431";"6243";"1388";"418714"
"53 Distrito Federal";"23155";"77342";"2298";"796";"1286";"501";"326";"1893";"1017";"2456";"6870";"29860";"30855";"19399";"22218";"19602";"15639";"4409";"942";"260864"
"Total";"1500678";"5160339";"260766";"131689";"144404";"68710";"117780";"343192";"140507";"328866";"577867";"1749784";"2003577";"1184548";"1292672";"1161209";"983713";"1018490";"333279";"18502070"
