"Unidade da Federação";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";" Total"
"11 Rondônia";"20611";"29885";"25585";"25985";"22475";"20960";"22621";"15225";"183347"
"12 Acre";"4819";"10278";"8795";"10959";"9730";"11317";"12866";"5853";"74617"
"13 Amazonas";"42692";"65396";"61643";"61038";"49510";"59556";"64227";"34105";"438167"
"14 Roraima";"2274";"9504";"9985";"9270";"9578";"9800";"10178";"6420";"67009"
"15 Pará";"49343";"90049";"63636";"89323";"77481";"82464";"98935";"64061";"615292"
"16 Amapá";"7318";"12633";"11708";"13945";"9761";"9909";"11438";"4759";"81471"
"17 Tocantins";"18104";"21814";"14782";"22016";"18398";"18823";"21120";"14410";"149467"
"21 Maranhão";"55792";"103525";"85256";"55589";"61410";"62784";"74424";"39558";"538338"
"22 Piauí";"38212";"35252";"29197";"29181";"28076";"32508";"36160";"20262";"248848"
"23 Ceará";"88488";"162815";"117413";"114062";"103410";"109871";"110800";"72587";"879446"
"24 Rio Grande do Norte";"30836";"42808";"37322";"24260";"24384";"29249";"34388";"20660";"243907"
"25 Paraíba";"35802";"49363";"36633";"32589";"39074";"40484";"50472";"25176";"309593"
"26 Pernambuco";"92492";"131231";"123533";"97868";"97063";"90893";"110701";"58323";"802104"
"27 Alagoas";"31711";"47587";"42876";"31321";"35549";"34725";"37538";"21457";"282764"
"28 Sergipe";"27895";"27900";"27705";"24353";"23948";"23176";"25395";"16250";"196622"
"29 Bahia";"146984";"192179";"159507";"114664";"123292";"129401";"143873";"87049";"1096949"
"31 Minas Gerais";"216983";"227900";"185820";"235662";"219546";"215528";"228537";"159881";"1689857"
"32 Espírito Santo";"45039";"51574";"47317";"44260";"39391";"42460";"48836";"31019";"349896"
"33 Rio de Janeiro";"147768";"214926";"200114";"168551";"158707";"153734";"172406";"70686";"1286892"
"35 São Paulo";"462032";"591245";"564656";"486323";"521800";"491184";"504739";"321725";"3943704"
"41 Paraná";"117981";"143301";"122902";"145968";"134780";"133685";"142973";"100828";"1042418"
"42 Santa Catarina";"62718";"82893";"75178";"91173";"75451";"79503";"91788";"64367";"623071"
"43 Rio Grande do Sul";"103686";"125214";"98021";"123920";"108527";"117506";"124009";"87628";"888511"
"50 Mato Grosso do Sul";"18824";"48617";"33847";"41532";"33003";"41412";"41263";"25057";"283555"
"51 Mato Grosso";"30277";"51618";"42674";"48057";"40236";"42557";"47938";"34463";"337820"
"52 Goiás";"62735";"86006";"64541";"83961";"71660";"73332";"77703";"53091";"573029"
"53 Distrito Federal";"45151";"42318";"29123";"57339";"34576";"37715";"38684";"26082";"310988"
"Total";"2006567";"2697831";"2319769";"2283169";"2170816";"2194536";"2384012";"1480982";"17537682"
