"","Município","Confirmados","Novos Confirmados","Incidência /100 mil hab","Óbitos","Novos Óbitos","Mortalidade /100 mil hab"
"","Ibirapuitã","66","1","1644.7","3","0","74.8"
"","Monte Belo do Sul","65","0","2551.0","3","0","117.7"
"","Lavras do Sul","65","14","869.0","1","0","13.4"
"","São Valentim","65","6","1970.3","1","0","30.3"
"","Saldanha Marinho","64","1","2415.1","4","0","150.9"
"","Nova Roma do Sul","64","0","1734.9","0","0","0"
"","Putinga","64","0","1633.1","0","0","0"
"","Barra do Guarita","62","0","1908.9","0","0","0"
"","Alpestre","61","1","974.8","2","0","32.0"
"","Muliterno","61","0","3222.4","1","0","52.8"
"","Viadutos","60","0","1261.6","1","0","21.0"
"","Paulo Bento","60","0","2616.7","0","0","0"
"","Pejuçara","59","1","1523.0","1","0","25.8"
"","Faxinal do Soturno","59","0","883.6","1","0","15.0"
"","Vista Gaúcha","58","1","2034.4","1","0","35.1"
"","Marques de Souza","58","0","1446.7","2","0","49.9"
"","Jaquirana","58","0","1560.8","2","0","53.8"
"","Jacutinga","58","0","1628.8","0","0","0"
"","São Pedro da Serra","58","0","1525.9","0","0","0"
"","Colinas","57","1","2338.0","0","0","0"
"","Vila Nova do Sul","56","0","1308.4","0","0","0"
"","Cacequi","56","0","445.8","2","0","15.9"
"","Senador Salgado Filho","56","0","2015.1","0","0","0"
"","Rondinha","56","0","1091.6","1","0","19.5"
"","Campina das Missões","56","0","1023.0","4","0","73.1"
"","Entre Rios do Sul","55","0","1969.9","2","0","71.6"
"","Capitão","55","2","1994.9","1","0","36.3"
"","Travesseiro","55","3","2354.5","2","0","85.6"
"","Santo Antônio das Missões","55","0","540.5","6","0","59.0"
"","Morrinhos do Sul","54","0","1831.1","1","0","33.9"
"","Victor Graeff","54","0","1873.7","2","0","69.4"
"","Barros Cassal","54","0","482.2","1","0","8.9"
"","Picada Café","54","0","940.4","2","0","34.8"
"","Quaraí","53","0","233.6","5","0","22.0"
"","Tio Hugo","53","0","1749.2","1","0","33.0"
"","Imigrante","53","2","1698.7","0","0","0"
"","Quevedos","53","0","1901.0","1","0","35.9"
"","São José das Missões","52","0","2049.7","0","0","0"
"","Pinhal","52","2","2016.3","0","0","0"
"","Erebango","51","1","1705.1","0","0","0"
"","Brochier","51","0","1005.1","0","0","0"
"","Gentil","51","0","3121.2","1","0","61.2"
"","Campestre da Serra","50","0","1475.8","0","0","0"
"","Itati","50","0","2067.0","1","0","41.3"
"","São Miguel das Missões","50","0","651.6","1","0","13.0"
"","Severiano de Almeida","50","8","1367.2","0","0","0"
"","Doutor Ricardo","49","0","2471.0","0","0","0"
"","Pinto Bandeira","49","0","1631.7","2","0","66.6"
"","Liberato Salzano","49","1","938.9","1","0","19.2"
"","Salvador das Missões","49","0","1792.9","0","0","0"
"","Porto Lucena","49","2","1047.5","0","0","0"
"","Morro Redondo","48","5","730.8","5","0","76.1"
"","Marcelino Ramos","47","0","1067.7","1","0","22.7"
"","Erval Grande","47","1","967.3","0","0","0"
"","Eugênio de Castro","46","5","1919.9","0","0","0"
"","Rodeio Bonito","46","0","784.0","0","0","0"
"","Augusto Pestana","46","2","690.6","1","0","15.0"
"","Pontão","45","0","1152.7","1","0","25.6"
"","Rio dos Índios","45","0","1635.2","0","0","0"
"","Protásio Alves","45","0","2311.2","2","0","102.7"
"","São José do Sul","45","1","1868.8","2","0","83.1"
"","Vista Alegre do Prata","44","0","2818.7","0","0","0"
"","Ponte Preta","44","0","2844.2","0","0","0"
"","Hulha Negra","43","0","634.6","1","0","14.8"
"","São José do Herval","43","0","2181.6","0","0","0"
