 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor total por Município e Ano processamento
Período:Jan/2008-Ago/2020
"Município";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"Total"
"150440 Marapanim";180763,18;239279,41;272934,26;268408,23;106509,12;13277,83;81167,25;22912,89;4271,60;31238,71;84954,03;81133,52;118425,44;1505275,47
"150442 Marituba";3769579,28;4273220,71;4549114,83;5176921,99;5921864,40;5756490,02;5193531,04;4637507,48;3667035,96;4869912,96;4662438,05;5121624,96;2909583,11;60508824,79
"150445 Medicilândia";519622,31;627138,90;653587,01;623768,92;742539,40;643509,50;521214,42;400369,05;408452,49;613944,76;544978,51;572064,86;300411,58;7171601,71
"150450 Melgaço";-;-;116930,88;147052,68;26623,18;176104,01;302116,27;332787,91;314201,90;335612,52;313043,56;331725,58;180817,47;2577015,96
"150460 Mocajuba";499923,83;755523,88;797980,63;886676,98;791020,46;869766,47;928044,81;860333,47;906115,04;914940,70;929244,79;989650,06;699367,73;10828588,85
"150470 Moju";1421813,92;1304604,46;1460985,60;1183170,71;1302397,42;1259693,22;1198658,13;1311367,91;1228430,05;1001519,11;1027104,43;1042691,81;646439,25;15388876,02
"150480 Monte Alegre";1784805,39;1794125,58;1544879,95;1792997,76;1714798,43;1443116,70;1233359,77;1424860,37;1181024,55;1165460,23;1141945,74;1138274,32;905556,35;18265205,14
"150490 Muaná";640525,95;581051,85;593766,96;587409,29;664265,07;720939,14;541950,41;568373,88;1090826,33;1006846,12;911556,69;733538,27;117452,37;8758502,33
"150495 Nova Esperança do Piriá";454229,59;679147,94;685382,96;298182,85;49124,45;428107,09;292683,07;50787,46;444067,73;400143,15;276031,42;129714,35;164333,10;4351935,16
"150497 Nova Ipixuna";-;-;-;-;-;-;-;-;-;16046,95;7185,93;66706,87;9939,89;99879,64
"150503 Novo Progresso";546943,92;626965,54;629748,49;844494,55;779769,91;812689,69;938106,04;941714,38;934300,94;928023,49;914237,34;833893,69;555891,10;10286779,08
"150506 Novo Repartimento";913722,58;689276,38;999210,69;845644,83;692115,69;844841,65;818306,77;703440,70;762580,52;856807,14;862817,01;853851,74;324276,74;10166892,44
"150510 Óbidos";1637006,48;1582963,14;1642146,01;1539708,65;1424680,49;1320671,55;1246135,48;1144211,12;1152396,32;1247231,34;1264814,46;1200993,64;604491,42;17007450,10
