 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor total por Município e Ano processamento
Período:Jan/2008-Ago/2020
"Município";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"Total"
"210990 Santa Inês";2467907,74;2898606,25;3434468,60;3481872,16;3009579,47;4845813,61;4069053,38;4073642,77;1844302,28;3546111,40;6185875,20;7764807,17;4675908,14;52297948,17
"211000 Santa Luzia";1025277,16;1291635,90;1511666,60;1612491,96;1098978,74;1423100,59;1115056,08;837776,83;1021860,40;1659499,75;1565756,94;1653854,44;625294,22;16442249,61
"211003 Santa Luzia do Paruá";587427,94;675265,02;1136299,40;1308016,14;1187701,81;603002,01;843579,66;995033,17;1061117,08;-;-;-;103472,82;8500915,05
"211010 Santa Quitéria do Maranhão";515330,11;656334,73;602450,55;705969,29;563474,20;609115,73;617928,49;583383,50;533743,55;679634,28;584612,59;379380,38;223605,03;7254962,43
"211020 Santa Rita";367862,34;427497,26;914046,75;806622,52;690364,42;777882,10;936557,87;888807,46;841405,94;950226,16;1031018,27;874801,10;258865,72;9765957,91
"211023 Santana do Maranhão";-;-;-;-;-;-;78002,46;85426,83;68970,88;174236,18;85082,38;56465,69;25350,31;573534,73
"211027 Santo Amaro do Maranhão";120652,10;168539,21;321017,16;345021,38;292349,76;231010,06;154432,80;137891,05;137459,19;85579,30;180311,70;262226,21;193641,54;2630131,46
"211030 Santo Antônio dos Lopes";1104538,81;825176,65;417729,70;443237,56;496862,86;495809,19;432408,52;361691,18;268325,06;410757,77;414129,12;368409,68;87115,25;6126191,35
"211040 São Benedito do Rio Preto";181213,59;210310,66;293948,12;379651,66;290385,52;287973,39;320922,89;169049,64;164983,69;269019,67;378209,31;207357,49;100879,44;3253905,07
"211050 São Bento";591683,56;628549,67;830832,82;903247,58;672362,17;456720,13;633073,62;478121,68;237037,56;732171,96;891965,34;848047,32;315699,76;8219513,17
"211060 São Bernardo";358973,98;492168,96;649010,09;699081,56;728589,10;677189,89;660992,41;673366,39;619552,17;531621,69;435808,56;423099,50;469434,88;7418889,18
"211065 São Domingos do Azeitão";-;-;28782,52;124528,79;125250,18;137319,75;95896,87;104602,25;106011,62;94582,77;153007,01;166856,62;94632,79;1231471,17
"211070 São Domingos do Maranhão";561651,49;541944,28;589282,17;602862,81;563101,54;633340,49;621482,18;594606,75;611564,79;734612,47;790181,37;778503,98;485595,04;8108729,36
"211080 São Félix de Balsas";82354,44;129758,14;177655,66;166693,36;152467,68;156692,91;169553,13;171301,90;15686,46;117387,07;136764,09;133800,60;83078,44;1693193,88
"211085 São Francisco do Brejão";128835,34;135811,21;169085,25;223573,75;131604,20;157474,30;185665,47;167811,82;184642,99;281051,69;214716,69;204853,35;224029,60;2409155,66
"211090 São Francisco do Maranhão";76741,42;37462,21;97591,53;271927,47;109136,82;54019,03;174578,78;168884,62;20995,88;102523,31;251793,19;380310,77;163558,69;1909523,72
"211100 São João Batista";387928,88;491335,93;305934,86;439532,02;359976,94;349722,61;320918,44;445313,96;382136,53;500000,69;400821,04;447228,52;262895,40;5093745,82
"211102 São João do Carú";291824,69;337342,60;364556,39;432960,26;416609,59;406256,59;386219,35;362924,39;249973,60;246456,47;370207,37;272297,70;131026,86;4268655,86
"211105 São João do Paraíso";-;-;-;-;-;-;90342,06;188055,64;113247,42;55667,22;25114,18;-;-;472426,52
"211107 São João do Soter";-;-;-;-;-;178844,65;157534,37;231018,02;382250,58;386164,64;421434,55;560593,19;268564,89;2586404,89
"211110 São João dos Patos";452321,21;590190,78;642935,51;503637,00;370752,19;426862,74;372541,61;348391,45;453442,21;512498,68;417496,43;433924,02;192195,81;5717189,64
"211120 São José de Ribamar";702849,15;1310884,03;1027878,81;1144699,67;2065425,76;2483985,82;2484619,74;1234294,51;909126,18;1346173,63;1440768,60;1421311,15;814627,08;18386644,13
"211125 São José dos Basílios";149427,20;143558,55;196562,41;118220,00;144487,12;172646,01;189715,46;140255,59;175902,75;176406,02;248499,12;187565,96;-;2043246,19
"211130 São Luís";71721558,72;89669900,03;96055567,04;102369768,71;106657364,48;118761398,84;128209699,68;138369431,73;143221336,57;152710803,89;153519595,58;168076805,60;119415016,41;1588758247,28
"211140 São Luís Gonzaga do Maranhão";352063,48;361954,74;719649,88;737603,46;719368,97;774038,80;574969,95;858131,22;715991,16;451427,58;575577,90;506995,93;297948,06;7645721,13
"211150 São Mateus do Maranhão";664614,22;628327,15;834543,27;741571,14;519429,12;396663,45;347181,37;350260,63;271899,65;184998,74;143009,02;351986,86;198257,21;5632741,83
"211153 São Pedro da Água Branca";149015,57;74588,04;137364,93;243250,57;122722,96;187787,17;145714,10;301671,44;200940,76;192591,53;-;338850,02;218536,20;2313033,29
"211157 São Pedro dos Crentes";-;-;-;-;-;-;4851,92;378821,35;286690,58;340965,41;468765,19;399371,17;233870,17;2113335,79
"211160 São Raimundo das Mangabeiras";209534,55;397886,99;490914,38;534161,54;512900,33;538809,42;541014,69;526064,86;456215,50;597813,13;611636,17;508905,03;549733,17;6475589,76
"211163 São Raimundo do Doca Bezerra";-;-;-;-;-;-;-;199569,27;-;57722,30;142125,14;56173,77;7468,24;463058,72
"211170 São Vicente Ferrer";540907,09;889298,96;860680,71;1003709,88;679059,85;807171,99;729757,81;633101,77;328022,99;590125,02;559292,07;679055,03;253462,99;8553646,16
"211172 Satubinha";141587,60;299250,81;258745,10;266969,58;244120,61;178596,59;139677,80;98060,64;104521,54;69908,31;50785,84;5069,70;1067,78;1858361,90
"211174 Senador Alexandre Costa";140033,60;226990,69;224669,89;218255,88;226238,32;259856,80;266964,11;256104,86;190853,24;254344,06;79795,15;-;-;2344106,60
"211178 Serrano do Maranhão";-;-;-;-;-;-;50748,44;271246,46;85362,92;217245,09;220191,79;-;-;844794,70
"211180 Sítio Novo";-;425932,79;522588,89;408862,27;438095,46;39364,09;159892,13;147497,83;201929,14;393317,67;441303,59;501902,57;213704,54;3894390,97
"211190 Sucupira do Norte";179007,07;215891,95;232458,69;223074,54;211279,33;206826,58;154198,11;159841,93;187161,10;239803,38;289290,99;217726,38;-;2516560,05
"211195 Sucupira do Riachão";-;-;-;-;108758,85;90030,51;186510,85;133936,36;93788,83;169390,68;129157,97;142405,74;102329,62;1156309,41
"211200 Tasso Fragoso";95258,64;84391,92;103649,85;86584,06;52058,72;55806,47;83662,70;127688,20;22322,66;138940,79;154873,11;127306,37;62673,30;1195216,79
"211210 Timbiras";409177,50;108452,37;421929,08;494541,48;63612,80;926932,41;1646829,11;1338322,55;1610980,31;1541228,28;2122405,54;2182194,21;1454550,76;14321156,40
"211220 Timon";3843476,02;3845311,47;3093771,47;2189320,34;2449308,47;3134138,66;3803455,84;3457998,40;3335401,84;3663670,63;3865367,82;3660274,78;3362862,84;43704358,58
"211223 Trizidela do Vale";244834,05;336471,13;531424,50;419507,89;328818,38;603962,67;468346,62;461351,89;544715,98;482863,14;547270,49;488596,65;-;5458163,39
"211227 Tufilândia";-;-;-;-;-;47559,46;39689,95;118001,76;31798,14;288571,17;300252,21;122962,77;33777,74;982613,20
"211230 Tuntum";1332876,80;1586535,68;1233419,48;885774,82;835858,53;717145,54;586589,65;1397756,65;1354760,92;1736621,71;1731990,84;1584372,00;1051690,16;16035392,78
"211240 Turiaçu";462108,60;650860,63;901642,92;983025,10;956702,44;951943,57;822224,69;820236,70;998031,92;739318,95;73384,83;-;-;8359480,35
"211250 Tutóia";862383,30;1050049,53;1020407,59;1079058,23;980868,94;838713,22;810735,27;705986,44;633204,58;435331,55;598987,74;967750,63;555887,97;10539364,99
"211260 Urbano Santos";310101,23;161934,06;556462,86;371144,28;495813,41;588984,58;560756,77;611043,97;429239,20;543866,74;491366,11;486153,74;469079,11;6075946,06
"211270 Vargem Grande";398526,59;699829,57;984042,31;987580,68;868457,21;831069,51;777449,43;832427,71;656065,68;771397,56;839175,90;766846,88;401629,14;9814498,17
"211280 Viana";830142,79;1027576,20;952457,77;976931,22;1055975,03;1029409,63;979183,42;963779,58;1130277,24;981104,29;1052790,95;1051459,82;545423,16;12576511,10
"211285 Vila Nova dos Martírios";72782,65;136917,04;200700,37;242917,42;257268,99;209852,80;275144,35;286985,56;138548,48;173218,94;329210,85;302669,31;167838,28;2794055,04
"211290 Vitória do Mearim";225409,69;489292,87;494512,47;457860,34;380700,68;481615,95;482560,75;502190,88;372314,61;362346,63;373138,94;247907,31;-;4869851,12
"211300 Vitorino Freire";618530,02;721785,63;943533,96;916104,00;570360,94;604550,39;652638,72;433553,38;304692,62;830209,33;869449,09;818102,41;516102,06;8799612,55
"211400 Zé Doca";842602,25;1670089,74;1786196,89;2376842,78;1354421,46;1475963,87;1760870,21;1441510,38;1277985,36;1414727,90;2232272,43;2161353,42;685594,70;20480431,39
"220010 Agricolândia";55516,08;19164,03;28671,59;25367,83;5442,81;62257,72;15793,42;14922,78;24774,44;23929,20;34856,92;12514,36;7796,44;331007,62
"220020 Água Branca";311358,96;214440,41;186849,42;390867,56;482544,80;443890,02;422304,54;403754,18;378931,37;484640,98;400287,19;378115,83;298029,89;4796015,15
"220025 Alagoinha do Piauí";84012,58;96063,40;64843,16;51322,61;-;-;28762,08;82043,19;102481,26;24426,00;73366,68;81814,92;31198,43;720334,31
"220030 Alto Longá";137242,79;139461,06;88408,89;100074,18;79333,10;95335,71;33795,70;12455,63;13627,89;45585,77;60939,88;59401,73;37527,82;903190,15
"220040 Altos";471427,66;411594,00;445727,06;496954,45;412451,73;508620,58;406544,37;397024,21;862647,40;756607,42;654082,16;639937,10;302993,48;6766611,62
"220050 Amarante";434104,29;557880,59;336332,99;283386,57;416858,64;570687,26;651034,65;644697,41;725839,15;445474,88;554809,14;539743,20;225163,00;6386011,77
"220060 Angical do Piauí";17777,28;12182,84;6492,65;4399,67;-;-;-;-;-;-;-;-;-;40852,44
"220090 Aroazes";79449,56;67391,79;69298,26;67000,88;31388,35;3514,08;23109,68;-;-;-;-;-;-;341152,60
"220100 Arraial";23150,10;10400,16;16149,17;5212,42;7566,90;-;8051,25;11075,43;17666,97;19517,42;24263,25;20097,22;24672,27;187822,56
"220110 Avelino Lopes";50388,07;40511,28;57082,76;82888,53;104121,08;19922,96;7952,93;19040,22;19122,58;8174,63;34939,29;7101,44;1809,39;453055,16
"220120 Barras";1544583,22;1732459,43;1584628,23;1354183,01;1312315,84;912943,75;1120601,19;601136,64;813602,83;702723,77;602522,09;762247,22;375148,48;13419095,70
"220140 Barro Duro";-;83201,49;58811,41;56284,27;-;-;-;-;-;-;-;-;-;198297,17
"220150 Batalha";449810,08;463230,02;447072,71;462280,28;349648,65;413148,68;394620,82;464080,97;444548,69;375294,74;269579,23;234944,01;166501,09;4934759,97
"220160 Beneditinos";81047,98;100310,48;56653,77;65840,13;43484,36;17971,43;38470,82;39248,36;49003,30;49778,11;63893,98;48473,48;47461,61;701637,81
"220170 Bertolínia";30262,94;24379,30;4603,98;-;-;-;-;-;-;-;-;-;-;59246,22
"220180 Bocaina";56024,77;39663,07;36429,31;25199,07;30692,74;31969,12;31632,74;20855,07;206675,85;197993,66;245530,36;33478,22;35739,08;991883,06
"220190 Bom Jesus";1321897,37;1920524,34;2174760,37;2377490,25;2519828,97;2429192,19;2691364,46;2083872,49;2108219,80;2017810,83;2063544,91;1934279,57;999579,18;26642364,73
"220200 Buriti dos Lopes";484873,61;652240,17;743821,43;596652,89;-;-;-;-;-;-;-;25583,92;-;2503172,02
"220202 Buriti dos Montes";38741,95;41265,58;9214,35;-;-;-;-;-;-;-;-;-;-;89221,88
"220220 Campo Maior";2490143,69;3084200,85;2661678,28;2831339,94;2782729,06;2920809,08;2757822,53;2872132,46;2870001,42;3066365,71;3401651,33;3830905,68;1564916,70;37134696,73
"220225 Canavieira";34350,36;-;-;-;-;-;-;-;-;-;-;-;-;34350,36
"220230 Canto do Buriti";673431,41;843285,02;699424,16;771266,08;746641,42;825938,69;845237,28;608393,46;615481,44;553329,73;723859,58;627283,06;307223,87;8840795,20
"220240 Capitão de Campos";86866,59;53617,68;41666,64;33984,83;27882,09;27239,55;14159,84;12834,73;1355,59;-;-;-;-;299607,54
"220250 Caracol";89360,69;109991,35;97127,82;39433,17;65047,62;55569,85;50675,77;111558,64;61586,80;-;35886,79;14230,89;-;730469,39
"220260 Castelo do Piauí";558325,33;755345,56;873386,73;877423,97;987304,54;863712,34;860063,25;666954,58;554568,09;609129,48;391205,64;415294,92;134821,04;8547535,47
"220270 Cocal";304162,38;602951,83;687142,54;693838,60;486935,35;377148,43;414671,58;161690,02;152195,51;147685,32;72370,64;8914,02;-;4109706,22
"220290 Corrente";866159,30;1069949,37;905353,22;512913,52;202550,63;501819,19;537320,35;576095,50;638548,60;703648,21;750793,35;685611,97;417936,64;8368699,85
"220300 Cristalândia do Piauí";42008,49;22374,02;11519,79;-;-;-;-;-;-;-;-;-;-;75902,30
"220310 Cristino Castro";117332,93;139516,61;65585,99;251028,44;244609,91;298535,19;359823,01;354981,83;357800,18;385782,18;438547,93;457920,74;304908,58;3776373,52
"220320 Curimatá";434191,18;495797,12;500192,91;478639,87;457240,93;526808,91;420318,25;548274,50;645466,37;798425,28;731285,80;758108,55;325721,67;7120471,34
"220330 Demerval Lobão";307021,32;323607,53;231423,33;249278,21;163745,85;-;194859,25;286084,82;436364,12;325214,45;291173,75;561280,36;308765,19;3678818,18
"220350 Elesbão Veloso";395786,26;440017,54;400710,69;435679,44;353603,24;336020,20;311434,77;235702,60;380464,65;363755,34;395700,62;431431,93;151483,25;4631790,53
"220360 Eliseu Martins";38023,43;-;-;-;-;-;-;-;-;-;-;-;-;38023,43
"220370 Esperantina";1298873,64;1595080,84;1638456,82;1809225,75;1952823,80;1901618,77;1877141,04;1718294,02;1672121,65;1959063,54;2102508,24;2480010,76;1219065,24;23224284,11
"220375 Fartura do Piauí";81530,32;101136,79;92496,53;108738,66;-;67723,08;124435,60;-;-;-;-;-;-;576060,98
"220390 Floriano";3669407,55;3632057,52;3516837,16;3021361,81;3986650,62;4806790,59;4085591,54;5162525,87;5311293,24;6227993,75;7668942,73;9256689,35;4497215,53;64843357,26
"220400 Francinópolis";26458,64;26164,88;17271,59;44310,95;18099,63;17445,20;8644,47;27165,93;39778,47;33270,69;25048,69;28319,00;15264,41;327242,55
"220410 Francisco Ayres";7642,69;9950,16;10425,90;4510,44;-;-;-;-;-;-;-;-;-;32529,19
"220430 Fronteiras";441032,72;662775,02;919721,18;961783,43;1012224,53;1031681,72;1053646,28;1063289,76;1037964,88;1070170,46;1014734,66;1275270,28;818486,55;12362781,47
"220440 Gilbués";113837,16;158956,71;127014,48;112176,47;91907,42;91814,40;85833,83;83669,49;-;-;-;-;-;865209,96
"220450 Guadalupe";280485,64;404080,48;581389,10;565035,17;545447,56;499553,72;455808,26;314394,68;334482,46;404318,22;277648,55;192838,62;56449,55;4911932,01
"220470 Inhuma";84958,64;144992,85;145932,75;109918,03;45976,70;69361,80;62405,82;56493,53;79058,06;67482,26;39987,58;24764,37;10151,18;941483,57
"220480 Ipiranga do Piauí";107503,00;144189,19;134021,18;88086,55;56555,96;90712,59;46131,60;52579,31;74176,65;74946,65;50136,45;29778,86;27314,71;976132,70
"220490 Isaías Coelho";53982,47;50841,08;20454,52;18451,40;18000,54;-;-;-;-;-;-;-;-;161730,01
"220500 Itainópolis";214377,28;211006,89;243715,10;218480,05;215936,97;169221,66;123327,92;10427,83;20634,21;28414,38;-;-;-;1455542,29
"220510 Itaueira";313940,36;458056,92;487763,65;407638,22;290494,47;394077,72;385050,35;304602,32;229144,32;213624,10;203732,34;202440,70;98828,96;3989394,43
"220520 Jaicós";709434,00;830721,10;776003,05;699115,66;712899,11;709488,61;696615,96;652196,00;607366,49;569160,28;497100,45;337624,47;77382,82;7875108,00
"220540 Joaquim Pires";103347,23;155701,13;193144,34;144980,52;145583,40;143369,98;102305,50;91744,43;57298,87;92350,94;76708,65;55977,83;21079,29;1383592,11
"220550 José de Freitas";507767,28;653789,47;697375,79;615088,73;367741,41;553223,73;651175,58;507120,73;456074,87;478611,27;493601,11;472250,22;244584,63;6698404,82
"220553 Jurema";-;32141,05;36527,13;31433,03;45045,06;37347,11;24331,33;28313,08;-;8608,68;-;-;-;243746,47
"220560 Landri Sales";80632,65;42859,62;51027,37;40632,54;4569,01;29234,69;22963,03;32291,54;8458,77;9367,00;-;-;-;322036,22
"220570 Luís Correia";376216,88;354236,25;385254,55;455035,26;288371,62;168906,07;164733,19;107675,25;31384,29;18155,77;153115,93;205583,41;82177,86;2790846,33
"220580 Luzilândia";801844,76;1091848,21;1338503,76;1590888,61;1576687,46;1616366,68;1643491,25;1239727,09;937018,33;1017007,48;1515649,60;1624937,73;539822,68;16533793,64
"220590 Manoel Emídio";96937,74;68846,85;49204,51;75978,23;56186,04;56696,51;35417,93;46357,99;45177,02;26169,21;24088,28;13330,00;23873,85;618264,16
"220600 Marcos Parente";31247,00;46995,56;49867,34;56629,84;17614,26;1493,91;-;-;-;-;-;-;-;203847,91
"220610 Matias Olímpio";155145,50;17491,83;66004,36;-;-;-;-;-;-;-;-;-;-;238641,69
"220620 Miguel Alves";465454,21;541460,17;503155,87;570889,39;511464,98;598924,51;375015,71;425205,74;391727,75;617256,96;671121,72;671403,64;324923,52;6668004,17
"220640 Monsenhor Gil";27203,20;50374,84;48710,48;61634,68;36925,38;-;-;-;-;-;-;-;-;224848,58
"220650 Monsenhor Hipólito";88269,82;65288,80;37694,83;52669,30;69542,06;92990,42;77659,39;81619,14;54474,28;104670,58;100485,70;112207,40;54564,79;992136,51
"220660 Monte Alegre do Piauí";24140,80;17227,62;15751,00;7443,96;-;-;-;-;-;-;-;-;-;64563,38
"220670 Nazaré do Piauí";53452,01;-;-;-;-;-;-;-;-;-;-;-;-;53452,01
"220680 Nossa Senhora dos Remédios";-;-;100363,05;32145,61;2713,53;28154,82;11322,34;14234,70;4673,27;-;-;-;-;193607,32
"220690 Novo Oriente do Piauí";55535,73;47271,07;79277,53;29338,99;13577,83;14550,61;28329,90;-;-;-;-;-;-;267881,66
"220700 Oeiras";1957002,12;2269332,78;2195612,13;2157363,30;2145405,86;1953735,08;1723749,47;2092631,62;2307593,09;2697723,63;3135059,13;3402517,74;2378679,41;30416405,36
"220720 Padre Marcos";131036,95;129328,84;140013,77;114729,45;74208,67;82539,20;79986,40;69569,42;125384,71;27133,12;-;-;-;973930,53
"220730 Paes Landim";-;2909,93;-;-;-;-;-;-;-;-;-;-;-;2909,93
"220750 Palmeirais";18974,12;88826,69;99791,92;107962,57;82759,67;21551,18;16642,19;2647,87;-;-;-;-;-;439156,21
"220760 Parnaguá";406140,52;297506,95;284734,85;356952,11;307594,14;523428,09;542151,57;627068,01;783995,35;691172,46;699071,73;717369,62;491680,17;6728865,57
"220770 Parnaíba";11197397,76;13656370,18;13183566,53;12543715,01;11619908,65;11015673,77;10759242,70;10881019,72;11254380,02;13219644,24;13779983,27;14207497,94;9603186,85;156921586,64
"220780 Paulistana";1139660,99;1429592,28;1398811,94;1280068,55;346895,05;330060,05;276614,19;447806,19;725874,49;819995,05;890028,51;828757,53;382073,90;10296238,72
"220790 Pedro II";1095757,13;1101793,88;1083890,09;1140526,90;1025690,08;904624,49;715681,20;1015213,99;919660,56;942523,34;993713,92;949732,92;540951,66;12429760,16
"220800 Picos";7203714,30;8455207,28;8314971,16;8121107,55;8094092,72;7767670,95;7179783,10;6564746,58;5732651,12;4497100,08;3892366,31;3623737,11;1256851,91;80704000,17
"220810 Pimenteiras";113312,32;91116,66;104021,70;114528,25;52559,38;123762,27;64748,02;51164,43;35730,34;57863,71;37213,65;51634,05;25390,67;923045,45
"220820 Pio IX";147405,85;147599,25;40193,41;68321,27;37069,94;68202,64;39463,96;82361,50;72525,39;85343,08;70175,36;68852,11;-;927513,76
"220830 Piracuruca";457134,05;430715,02;336489,82;343950,19;334081,82;440994,72;523908,37;498708,62;405960,67;386414,81;419413,84;471845,94;125198,62;5174816,49
"220840 Piripiri";1374883,48;1521914,19;1252015,69;1172367,05;977979,07;1203004,33;1192549,58;1157204,34;1426868,61;1527334,35;2216554,73;3004104,19;1002512,41;19029292,02
"220850 Porto";150278,80;173594,53;198292,36;145064,08;148463,86;161014,98;99629,12;93847,96;63615,96;108232,59;103790,07;91014,69;88156,77;1624995,77
"220855 Porto Alegre do Piauí";-;12848,93;4187,29;-;-;-;-;-;-;-;-;-;-;17036,22
"220870 Redenção do Gurguéia";7382,28;55140,28;115262,03;56011,24;19373,18;-;10883,37;-;-;-;-;-;-;264052,38
"220880 Regeneração";439033,12;530078,45;434730,36;428165,36;371967,04;494273,02;424000,47;399404,70;362296,34;370174,64;297074,44;647797,62;422532,69;5621528,25
"220890 Ribeiro Gonçalves";79890,96;88290,13;79401,54;-;35133,22;31469,74;28644,33;40378,46;57584,50;23167,13;35573,29;68538,06;45188,15;613259,51
"220900 Rio Grande do Piauí";23287,01;20886,62;15069,96;2577,60;-;-;-;-;-;-;-;-;-;61821,19
"220910 Santa Cruz do Piauí";144349,22;172343,22;183299,95;94785,94;97739,41;95562,71;96170,78;109550,60;117454,26;-;-;-;-;1111256,09
"220940 Santo Antônio de Lisboa";-;75450,31;48157,28;15948,84;41361,00;23575,05;55864,61;28351,67;-;-;-;-;-;288708,76
"220960 São Félix do Piauí";-;26249,05;53084,26;14850,41;10107,94;23305,31;28634,91;20788,99;32193,66;21074,95;13497,03;24229,06;9991,98;278007,55
"220970 São Francisco do Piauí";-;45626,24;130509,84;56481,74;-;-;-;-;-;-;-;-;-;232617,82
"220980 São Gonçalo do Piauí";-;324,90;-;-;-;-;-;-;-;-;-;-;-;324,90
"220990 São João da Serra";-;8629,59;34224,24;44431,75;46517,75;49453,17;40237,43;43109,45;30531,30;47940,05;25881,92;30028,67;19753,45;420738,77
"221000 São João do Piauí";665544,29;424140,35;505226,74;584385,93;91431,82;292370,25;258545,32;423295,77;266780,29;408845,67;525182,07;457175,43;302531,38;5205455,31
"221010 São José do Peixe";43945,92;50388,73;26904,31;28481,38;8006,91;11757,52;501,78;309,54;-;-;-;-;-;170296,09
"221030 São Julião";71165,06;73284,82;126827,20;130900,83;90522,42;75070,52;28310,54;61369,02;58348,50;258287,68;271359,32;119061,28;-;1364507,19
"221040 São Miguel do Tapuio";345144,24;274269,90;341814,54;355785,50;315253,61;333073,29;266118,39;240183,32;221446,84;216776,89;231454,69;201423,57;110978,53;3453723,31
"221050 São Pedro do Piauí";379257,85;335808,98;462885,59;415125,88;162907,88;161366,47;88824,86;140625,64;117183,22;106039,68;9366,26;89282,54;52294,44;2520969,29
"221060 São Raimundo Nonato";3804641,26;4736429,96;5320321,16;5263806,72;5347798,11;5498174,64;5358181,99;5350396,02;5962887,74;6078436,60;6163485,72;6698121,44;4235271,01;69817952,37
"221070 Simões";693858,31;755884,39;801113,29;823747,76;1021982,35;1058700,01;1116110,69;1089048,92;1172174,50;1096215,38;1138866,84;900301,17;581647,70;12249651,31
"221080 Simplício Mendes";158956,75;202977,76;181278,19;139770,24;137125,25;42820,04;157214,54;175610,39;197806,82;120786,56;122349,24;183387,09;71587,88;1891670,75
"221090 Socorro do Piauí";55611,56;-;7916,64;-;-;-;-;-;-;-;-;-;-;63528,20
"221100 Teresina";67841663,43;79187066,24;82086867,70;83223096,79;89390718,36;104689883,44;105929866,82;116968053,69;129547570,82;125017512,87;130856730,22;137840519,14;90647569,84;1343227119,36
"221110 União";883809,62;999309,28;917055,48;950222,48;751855,74;691007,48;670441,60;667374,06;583907,68;533438,77;487514,60;385088,37;219732,16;8740757,32
"221120 Uruçuí";701672,48;845625,91;807420,06;827313,88;832278,12;773184,59;758063,74;714552,05;668098,33;665035,75;627630,53;593625,58;461349,76;9275850,78
"221130 Valença do Piauí";1029764,93;1365307,05;1405695,97;1352569,65;1356106,29;1227653,91;1272948,29;1341691,10;1346039,23;1240469,26;1445354,16;1395751,66;760259,07;16539610,57
"221140 Várzea Grande";17639,53;51166,99;16815,91;9693,53;9300,62;5717,44;1143,60;-;-;-;-;-;-;111477,62
"221170 Wall Ferraz";166153,78;176073,45;175343,87;209881,30;218805,98;217224,96;215805,90;210264,07;207665,09;214002,31;215686,92;216579,03;145140,49;2588627,15
"230020 Acaraú";1115909,24;1401903,99;1614538,08;1554221,98;1440303,08;1571643,10;1683812,98;1742200,66;1486915,56;1801708,69;1594461,32;1770803,92;422471,86;19200894,46
"230030 Acopiara";1271112,11;1346707,32;1095798,97;943292,16;789016,55;836998,47;893045,22;778436,50;789234,50;565684,91;584722,71;900165,68;639071,18;11433286,28
"230040 Aiuaba";57085,84;62228,58;60335,90;52770,78;51847,70;58356,33;20700,67;30203,66;17186,25;41176,78;56282,56;95303,67;67776,64;671255,36
"230060 Altaneira";56269,03;54760,18;62130,29;103582,74;77205,35;17398,95;29066,23;21708,09;40566,27;90412,11;102306,91;79178,16;29051,63;763635,94
"230070 Alto Santo";238443,28;259380,11;264078,17;274978,93;270773,70;234805,97;201669,53;119230,11;121226,66;76250,89;77896,21;61092,95;46171,83;2245998,34
"230075 Amontada";349801,39;325501,29;247757,54;170102,00;130338,55;66769,22;89604,95;32926,75;41362,05;18797,49;15095,98;33408,30;33958,61;1555424,12
"230080 Antonina do Norte";86910,63;110551,25;95407,14;90000,60;43644,59;29091,58;13629,80;-;22250,90;31016,00;16479,68;1215,49;-;540197,66
"230090 Apuiarés";52008,57;39826,51;43265,58;64810,64;49373,63;40288,36;25541,41;-;4145,24;-;54345,70;86306,91;59413,34;519325,89
"230100 Aquiraz";529969,35;468857,81;441314,79;541105,55;485275,16;511294,78;689412,09;600580,91;485270,69;211828,08;392290,61;393270,51;428148,33;6178618,66
"230110 Aracati";1532749,59;2175528,00;2111538,75;2147781,24;1738672,56;1763604,66;1895090,09;2085751,32;1797064,43;1937028,31;2187404,99;2117255,58;1402033,50;24891503,02
"230120 Aracoiaba";953263,48;982157,06;941192,36;983513,65;996079,46;925823,75;946490,22;695677,74;777625,22;810890,56;948189,44;936334,84;213947,11;11111184,89
"230125 Ararendá";82644,07;111165,81;81061,57;69378,01;32651,37;155184,92;74855,00;29093,13;39512,68;37458,01;43096,84;107225,01;17144,49;880470,91
"230130 Araripe";436825,98;478343,02;472224,06;391454,66;320532,74;288071,09;257374,81;188324,26;183374,70;198681,77;173404,83;167612,30;104828,28;3661052,50
"230140 Aratuba";73978,98;101495,45;83964,41;59227,88;61200,16;37641,33;16823,65;-;2660,40;35619,06;57172,04;44266,22;36692,73;610742,31
"230150 Arneiroz";155747,35;110900,92;75156,39;93833,48;100147,37;105883,12;83947,76;55092,18;6290,49;3726,86;15024,25;662,54;-;806412,71
"230160 Assaré";226350,30;218688,18;152407,06;183818,83;163084,92;237158,64;169850,08;135972,82;156311,62;166647,72;165115,42;164297,77;98793,13;2238496,49
"230170 Aurora";829375,45;850721,08;849923,31;889408,17;884268,10;777274,88;742906,53;654499,79;636419,87;635013,76;744600,03;978378,53;603548,89;10076338,39
"230180 Baixio";217199,32;219603,00;143883,89;-;-;-;11290,23;19058,98;-;3387,41;26353,82;26343,74;-;667120,39
"230185 Banabuiú";104805,99;98538,38;90919,58;68080,23;36948,25;40120,81;23032,07;37312,33;21011,66;103147,98;94517,82;104158,06;57314,38;879907,54
"230190 Barbalha";14025865,59;19248848,50;19974677,93;19714876,92;19481716,79;19466101,92;20632501,48;22594427,45;21465714,74;25176245,60;24150422,28;27045792,04;15617977,02;268595168,26
"230195 Barreira";46664,46;63608,62;33486,29;47842,88;26388,61;30602,36;20687,73;32875,02;59254,13;47043,35;46932,69;40287,25;45172,58;540845,97
"230200 Barro";217140,56;211588,07;208062,27;236060,46;212624,21;222152,74;207197,45;175294,77;130224,71;135667,40;81821,79;65013,15;35385,06;2138232,64
